sale_date,product,flavour,customization,quantity_value,quantity_units,price,mode_of_payment,toppers,delivery,delivery_charges,latitude,longitude,product_raw,flavour_raw,year_,month_,day_,dow_,week_,quarter_
17-10-2022,,,,,,,,,,,,,,,2022,10,17,1,42,4
01-07-2022,cake,mango,,500,gram,500,acc,,,,,,cake,mango,2022,7,1,5,26,3
03-06-2021,cake,mango,,500,gram,450,acc,,no,,,,cake,mango,2021,6,3,4,22,2
15-04-2022,cake,mango,,1000,gram,900,acc,,,,,,cake,mango,2022,4,15,5,15,2
09-11-2022,,brownie,,15,pcs,975,acc,,,,,,,brownies,2022,11,9,3,45,4
30-08-2022,brookie,chocolate,,4,box,1400,acc,,,,,,brookies,chocolate,2022,8,30,2,35,3
30-12-2022,cake,,,,,,,,,,,,cake,,2022,12,30,5,52,4
26-12-2022,cake,,,500,gram,550,acc,,,,,,cake,,2022,12,26,1,52,4
11-09-2021,cake,mango,,1000,gram,,,,no,,,,cake,mango,2021,9,11,6,36,3
29-11-2022,,,,,,,,,,,,,,,2022,11,29,2,48,4
17-07-2022,cake,,,,,,,,,,,,cake,,2022,7,17,0,28,3
03-03-2022,cake,chocolate,,1500,gram,1700,acc,,,,,,cake,chocolate,2022,3,3,4,9,1
23-10-2022,,,remainder,,,,,,,,,,,,2022,10,23,0,42,4
30-07-2022,cake,blackforest,,1000,gram,,,,,,,,cake,blackforest,2022,7,30,6,30,3
21-10-2022,,,,,,,,,,,,,,,2022,10,21,5,42,4
03-05-2022,cake,blackforest,,500,gram,500,acc,,,,,,cake,blackforest,2022,5,3,2,18,2
30-12-2021,fruit_cake,,,1000,gram,700,acc,,,,,,fruitcake,,2021,12,30,4,52,4
25-06-2022,cake,truffle,,500,gram,550,acc,,,,,,cake,truffle,2022,6,25,6,25,2
29-06-2021,cake,mango,,500,gram,450,acc,,,,,,cake,mango,2021,6,29,2,26,2
23-07-2022,cake,mango,,1000,gram,950,acc,,,,,,cake,mango,2022,7,23,6,29,3
19-11-2022,brownie,chocolate,,6,pcs,390,acc,,,,,,brownies,chocolate,2022,11,19,6,46,4
19-11-2022,brownie,misc_&_combo,,3,pcs,240,acc,,,,,,brownies,"hazelnut ,special ,",2022,11,19,6,46,4
